TIME,AMPLITUDE
11290,-0.68773306
11292,0.217323536
11294,0.930766961
11296,0.823394215
11298,-0.010450054
11300,-0.835179384
11302,-0.922664163
11304,-0.195372409
11306,0.704593996
11308,0.98205439
11310,0.391523293
11312,-0.545244622
11314,-0.999888156
11316,-0.569993262
11318,0.364363363
11320,0.976266024
11322,0.723784158
11324,-0.169828228
11326,-0.913040415
11328,-0.847204785
11330,-0.030291486
11332,0.813590612
11334,0.935827103
11336,0.227698679
11338,-0.682635393
11340,-0.98694872
11342,-0.414772728
11344,0.52597657
11346,0.99937767
11348,0.584476153
11350,-0.35012556
11352,-0.973469034
11354,-0.73069369
11356,0.162359421
11358,0.910995671
11360,0.848475714
11362,0.030099826
11364,-0.815148529
11366,-0.933955562
11368,-0.220036582
11370,0.690165215
11372,0.984781845
11374,0.400590718
11376,-0.541219933
11378,-0.999892417
11380,-0.565573687
11382,0.374164063
11384,0.979550481
11386,0.709340408
11388,-0.195184353
11390,-0.925231221
11392,-0.827453305
11394,0.010929396
11396,0.83963352
11398,0.916449027
11400,0.172284207
11402,-0.726359155
11404,-0.974014681
11406,-0.348328812
11408,0.589831045
11410,0.998905715
11412,0.51163361
11414,-0.434994
11416,-0.991107914
11418,-0.657012008
11420,0.267451886
11422,0.95164141
11424,0.780317699
11426,-0.092768134
11428,-0.882508109
11430,-0.878188092
11432,-0.083409061
11434,0.786514426
11436,0.948196486
11438,0.255699934
11440,-0.667357003
11442,-0.98889334
11444,-0.418781628
11446,0.529152969
11448,0.999726391
11450,0.568101163
11452,-0.376474552
11454,-0.98113903
11456,-0.699610366
11458,0.214046936
11460,0.934400272
11462,0.809951433
11464,-0.046960884
11466,-0.861500455
11468,-0.896561558
11470,-0.120031506
11472,0.765228989
11474,0.95752284
11476,0.282292813
11478,-0.648806271
11480,-0.991869138
11482,-0.435598198
11484,0.515910741
11486,0.999357214
11488,0.575886574
11490,-0.370426829
11492,-0.980466009
11494,-0.699884331
11496,0.216668411
11498,0.936400317
11500,0.80480377
11502,-0.058736813
11504,-0.868950544
11506,-0.88852106
11508,-0.099257422
11510,0.780437601
11512,0.949407815
11514,0.253474781
11516,-0.673545591
11518,-0.986638126
11520,-0.400063581
11522,0.551498084
11524,0.999956758
11526,0.535807367
11528,-0.417562386
11530,-0.989690787
11532,-0.657806693
11534,0.27511098
11536,0.956745305
11538,0.763683804
11540,-0.127832529
11542,-0.902508224
11544,-0.851355193
11546,-0.020898967
11548,0.828796838
11550,0.919453471
11552,0.167749268
11554,-0.737723379
11556,-0.96707414
11558,-0.309673427
11560,0.631870129
11562,0.993726004
11564,0.443606673
11566,-0.513856022
11568,-0.999496512
11570,-0.567075019
11572,0.386400505
11574,0.984881656
11576,0.677856795
